site,predation_trt,rep,harvest_week,harvest_date,analyzer,collembola,staphylinidae,staphylinidae_larval,sminthuridae
Intensive Agriculture,C,4,1,12/8/2023,Reggie,4,0,0,0
Intensive Agriculture,C,8,1,12/8/2023,Reggie,6,0,0,0
Intensive Agriculture,C,9,1,12/8/2023,Reggie,5,0,0,0
Intensive Agriculture,CB,1,1,12/8/2023,Reggie,0,0,0,0
Intensive Agriculture,CB,5,1,12/8/2023,Reggie,0,0,0,0
Intensive Agriculture,CB,7,1,12/8/2023,Reggie,0,1,0,0
Grassland,C,2,1,12/8/2023,Reggie,3,0,0,0
Grassland,C,4,1,12/8/2023,Reggie,4,0,0,0
Grassland,C,5,1,12/8/2023,Caroline,3,0,0,0
Grassland,CB,3,1,12/8/2023,Reggie,0,0,0,0
Grassland,CB,8,1,12/8/2023,Reggie,0,1,0,0
Grassland,CB,9,1,12/8/2023,Caroline,1,2,0,0
Urbanized,C,1,1,12/8/2023,Reggie,5,0,0,0
Urbanized,C,4,1,12/8/2023,Reggie,1,0,0,0
Urbanized,C,7,1,12/8/2023,Reggie,0,1,0,0
Urbanized,CB,1,1,12/8/2023,Reggie,0,1,0,0
Urbanized,CB,4,1,12/8/2023,Reggie,2,1,0,0
Urbanized,CB,5,1,12/8/2023,Reggie,0,0,0,0
Intensive Agriculture,C,2,2,12/15/2023,Reggie,15,0,0,0
Intensive Agriculture,C,3,2,12/15/2023,Reggie,5,0,0,0
Intensive Agriculture,C,5,2,12/15/2023,Reggie,13,0,0,0
Intensive Agriculture,CB,3,2,12/15/2023,Reggie,2,0,0,0
Intensive Agriculture,CB,6,2,12/15/2023,Reggie,4,1,2,0
Intensive Agriculture,CB,8,2,12/15/2023,Reggie,0,0,13,0
Grassland,C,3,2,12/15/2023,Caroline,8,0,0,0
Grassland,C,7,2,12/15/2023,Caroline,13,0,0,0
Grassland,C,9,2,12/15/2023,Caroline,23,0,0,0
Grassland,CB,2,2,12/15/2023,Caroline,7,0,0,0
Grassland,CB,4,2,12/15/2023,Caroline,0,0,0,0
Grassland,CB,5,2,12/15/2023,Caroline,0,0,0,0
Urbanized,C,3,2,12/15/2023,Reggie,9,0,0,0
Urbanized,C,5,2,12/15/2023,Reggie,19,0,0,0
Urbanized,C,8,2,12/15/2023,Reggie,8,0,0,0
Urbanized,CB,7,2,12/15/2023,Reggie,0,0,0,0
Urbanized,CB,8,2,12/15/2023,Reggie,5,0,0,0
Urbanized,CB,9,2,12/15/2023,Reggie,5,0,0,0
Intensive Agriculture,C,1,3,12/22/2023,Reggie,16,0,0,0
Intensive Agriculture,C,6,3,12/22/2023,Reggie,122,0,0,0
Intensive Agriculture,C,7,3,12/22/2023,Reggie,20,0,0,0
Intensive Agriculture,CB,2,3,12/22/2023,Reggie,2,2,9,0
Intensive Agriculture,CB,4,3,12/22/2023,Reggie,7,2,7,0
Intensive Agriculture,CB,9,3,12/22/2023,Reggie,25,0,0,0
Grassland,C,1,3,12/22/2023,Caroline,22,0,0,0
Grassland,C,6,3,12/22/2023,Caroline,22,0,0,0
Grassland,C,8,3,12/22/2023,Reggie,75,0,0,0
Grassland,CB,1,3,12/22/2023,Caroline,42,0,0,0
Grassland,CB,6,3,12/22/2023,Reggie,25,1,4,0
Grassland,CB,7,3,12/22/2023,Caroline,34,2,1,0
Urbanized,C,2,3,12/22/2023,Caroline,31,0,0,0
Urbanized,C,6,3,12/22/2023,Reggie,10,0,0,0
Urbanized,C,9,3,12/22/2023,Caroline,13,0,0,0
Urbanized,CB,2,3,12/22/2023,Reggie,13,0,0,0
Urbanized,CB,3,3,12/22/2023,Caroline,28,0,0,0
Urbanized,CB,6,3,12/22/2023,Reggie,7,0,0,0
